v1,fips,cum_cases,cum_deaths,cases,deaths,date,state,week_case_diff,week_death_diff,week_case_growth,week_death_growth,day_case_diff,day_death_diff,day_case_growth,day_death_growth
4500,49,2208,18,105,1,11apr2020,Utah,6.663132695990803,2.397895272798371,-.0449513878622669,.4519851237430574,4.663439094112067,.6931471805599453,-.1568424714929701,-.916290731874155
4555,49,2305,18,97,0,12apr2020,Utah,6.533788837933344,2.397895272798371,-.2686059253909674,.4519851237430574,4.584967478670572,0,-.0784716154414946,-.6931471805599453
4610,49,2368,18,63,0,13apr2020,Utah,6.561030665896573,1.791759469228055,-.1924072527012068,-.5108256237659909,4.158883083359671,0,-.4260843953109008,0
4665,49,2420,19,52,1,14apr2020,Utah,6.52795791762255,1.945910149055313,-.2184542109508243,-.2513144282809063,3.970291913552122,.6931471805599453,-.1885911698075495,.6931471805599453
4720,49,2549,20,129,1,15apr2020,Utah,6.536691597591305,2.079441541679836,-.207367588720043,.1335313926245225,4.867534450455582,.6931471805599453,.8972425369034602,0
4775,49,2687,21,138,1,16apr2020,Utah,6.56244409369372,2.19722457733622,-.2443852666984565,.2513144282809063,4.934473933130691,.6931471805599453,.0669394826751093,0
4830,49,2813,23,126,2,17apr2020,Utah,6.566672429803241,1.945910149055313,-.1855979463385014,-.4519851237430574,4.844187086458591,1.09861228866811,-.0902868466721003,.4054651081081645
4885,49,2942,25,129,2,18apr2020,Utah,6.599870499212837,2.079441541679836,-.0632621967779663,-.3184537311185349,4.867534450455582,1.09861228866811,.023347363996991,0
4940,49,3071,27,129,2,19apr2020,Utah,6.642486801367256,2.302585092994046,.1086979634339125,-.0953101798043248,4.867534450455582,1.09861228866811,0,0
4995,49,3213,28,142,1,20apr2020,Utah,6.740519359606223,2.397895272798371,.1794886937096498,.6061358035703157,4.962844630259907,.6931471805599453,.0953101798043248,-.4054651081081645
1696,50,0,0,0,0,20feb2020,Vermont,0,0,0,0,0,0,0,0
1751,50,0,0,0,0,21feb2020,Vermont,0,0,0,0,0,0,0,0
1806,50,0,0,0,0,22feb2020,Vermont,0,0,0,0,0,0,0,0
1861,50,0,0,0,0,23feb2020,Vermont,0,0,0,0,0,0,0,0
1916,50,0,0,0,0,24feb2020,Vermont,0,0,0,0,0,0,0,0
1971,50,0,0,0,0,25feb2020,Vermont,0,0,0,0,0,0,0,0
2026,50,0,0,0,0,26feb2020,Vermont,0,0,0,0,0,0,0,0
2081,50,0,0,0,0,27feb2020,Vermont,0,0,0,0,0,0,0,0
2136,50,0,0,0,0,28feb2020,Vermont,0,0,0,0,0,0,0,0
2191,50,0,0,0,0,29feb2020,Vermont,0,0,0,0,0,0,0,0
2246,50,0,0,0,0,01mar2020,Vermont,0,0,0,0,0,0,0,0
2301,50,0,0,0,0,02mar2020,Vermont,0,0,0,0,0,0,0,0
2356,50,0,0,0,0,03mar2020,Vermont,0,0,0,0,0,0,0,0
2411,50,0,0,0,0,04mar2020,Vermont,0,0,0,0,0,0,0,0
2466,50,0,0,0,0,05mar2020,Vermont,0,0,0,0,0,0,0,0
2521,50,0,0,0,0,06mar2020,Vermont,0,0,0,0,0,0,0,0
2576,50,1,0,1,0,07mar2020,Vermont,.6931471805599453,0,.6931471805599453,0,.6931471805599453,0,.6931471805599453,0
2631,50,1,0,0,0,08mar2020,Vermont,.6931471805599453,0,.6931471805599453,0,0,0,-.6931471805599453,0
2686,50,1,0,0,0,09mar2020,Vermont,.6931471805599453,0,.6931471805599453,0,0,0,0,0
2741,50,1,0,0,0,10mar2020,Vermont,.6931471805599453,0,.6931471805599453,0,0,0,0,0
2796,50,2,0,1,0,11mar2020,Vermont,1.09861228866811,0,1.09861228866811,0,.6931471805599453,0,.6931471805599453,0
2851,50,2,0,0,0,12mar2020,Vermont,1.09861228866811,0,1.09861228866811,0,0,0,-.6931471805599453,0
2906,50,2,0,0,0,13mar2020,Vermont,1.09861228866811,0,1.09861228866811,0,0,0,0,0
2961,50,5,0,3,0,14mar2020,Vermont,1.6094379124341,0,.916290731874155,0,1.386294361119891,0,1.386294361119891,0
3016,50,8,0,3,0,15mar2020,Vermont,2.079441541679836,0,1.38629436111989,0,1.386294361119891,0,0,0
3071,50,12,0,4,0,16mar2020,Vermont,2.484906649788,0,1.791759469228055,0,1.6094379124341,0,.2231435513142097,0
3126,50,14,0,2,0,17mar2020,Vermont,2.639057329615258,0,1.945910149055313,0,1.09861228866811,0,-.5108256237659905,0
3181,50,19,0,5,0,18mar2020,Vermont,2.890371757896165,0,1.791759469228055,0,1.791759469228055,0,.6931471805599452,0
3236,50,22,2,3,2,19mar2020,Vermont,3.044522437723423,1.09861228866811,1.945910149055313,1.09861228866811,1.386294361119891,1.09861228866811,-.4054651081081644,1.09861228866811
3291,50,29,2,7,0,20mar2020,Vermont,3.332204510175204,1.09861228866811,2.233592221507094,1.09861228866811,2.079441541679836,0,.6931471805599452,-1.09861228866811
3346,50,49,2,20,0,21mar2020,Vermont,3.80666248977032,1.09861228866811,2.197224577336219,1.09861228866811,3.044522437723423,0,.9650808960435873,0
